136,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
84,realtimeDownlink,AutoSafeAllowed,1,-,21,Spacecraft Status,3,1,0,Auto Safe Allowed,Autosafe Allowed
85,realtimeDownlink,AutoSafeModeActive,1,-,21,Spacecraft Status,3,2,0,Auto Safe,Autosafe Mode Active
86,realtimeDownlink,I2CfailureSunSense,1,-,17,Sun Sensors,0,0,0,I2c CSS,Coarse Sun Sensor I2c failure
87,realtimeDownlink,I2CfailureSolarV,1,-,17,Solar Panels,6,9,0,I2c Solar,Solar Voltage I2c failure
88,realtimeDownlink,transponderEnabled,1,-,44,Legacy IHU,2,2,0,Transponder Enabled,-
89,realtimeDownlink,I2CfailureICR,1,-,17,Command Receivers,4,5,0,I2cICR,Antenna is not communicating over bus 2
90,realtimeDownlink,I2CFailureDeploy,1,-,17,Spacecraft Status,3,6,0,I2c Deploy,Antenna is not communicating over bus 1
91,realtimeDownlink,TLMresets,8,-,1,Spacecraft Status,3,10,0,Min/Max Resets,Number of times command stations reset stored telemetry
92,realtimeDownlink,wodSize,8,-,36,Spacecraft Status,3,3,0,WOD Stored,Number of WOD data payloads kept for each of Science and Housekeeping
93,realtimeDownlink,swCmds,32,-,35,Command Receivers,4,6,0,Diagnostic,ICR Diagnostic information
94,realtimeDownlink,hwCmdCnt,8,-,1,Command Receivers,4,7,0,HW Cmd Cnt ICR,Number of hardware commands since last reset
95,realtimeDownlink,swCmdCntICR,8,-,34,Command Receivers,4,8,0,SW Cmd Cnt ICR,Number of software commands since last reset
96,realtimeDownlink,swCmdCntDCT,8,-,34,Command Receivers,4,9,0,SW Cmd Cnt DCT,Number of software commands since last reset
97,realtimeDownlink,DCT1Status,8,-,1,DCT1,12,4,0,Status,TBD
98,realtimeDownlink,DCT2Status,8,-,1,DCT2,13,4,0,Status,TBD
99,realtimeDownlink,LMRAMstatus,8,-,1,Legacy IHU,2,4,0,LIHU MRAM Status,TBD
100,realtimeDownlink,PrimMRAMstatus,8,-,1,RT-IHU,11,4,0,MRAM1 Status,Status of processor 1 MRAM
101,realtimeDownlink,SecndMRAMstatus,8,-,1,RT-IHU,11,5,0,MRAM2 Status,Status of processor 2 MRAM
102,realtimeDownlink,ModuLO,8,-,1,Legacy Radio,1,6,0,Modulator Reg 0,Modulator Register 0 - Local Oscillator
103,realtimeDownlink,ModuGain,8,-dB,1,Legacy Radio,1,8,0,Modulator Gain,Modulator Register 1 - Gain
104,realtimeDownlink,SDRFlowNumber,8,-,1,SDR Radio,10,13,3,SDR Running Flow Number,Running Flow Number
105,realtimeDownlink,ModuMode,8,-,1,Legacy Radio,1,9,0,Modulator Reg 8,Modulator Register 8 - Mode
106,realtimeDownlink,CIUResetCnt1,8,-,1,CIU,8,5,0,CIU 1 Reset Cnt,Power Reset Count for CIU Bus 1
107,realtimeDownlink,CIUResetCnt2,8,-,1,CIU,8,6,0,CIU 2 Reset Cnt,Power Reset Count for CIU Bus 2
108,realtimeDownlink,DCT1PwrCnt,8,-,1,DCT1,12,7,0,Reset Cnt,Power Reset Count for DCT1
109,realtimeDownlink,DCT2PwrCnt,8,-,1,DCT2,13,7,0,Reset Cnt,Power Reset Count for DCT2
110,realtimeDownlink,PA1PwrCnt,8,-,1,DCT1,12,8,0,PA Reset Cnt,Power Reset Count for PA1
111,realtimeDownlink,PA2PwrCnt,8,-,1,DCT2,13,8,0,PA Reset Cnt,Power Reset Count for PA2
112,realtimeDownlink,LIHUControl,1,-,21,Legacy IHU,2,3,0,LIHU In Control,The LIUH is in control of the spacecraft
113,realtimeDownlink,moduValid,1,-,21,Legacy Radio,1,10,0,Modulator Valid,If not valid then the displayed values are from the last valid read
114,realtimeDownlink,eclipseAction,3,-,GOLF_ECLIPSE_ACTION,Spacecraft Status,3,7,0,Eclipse Action,-
115,realtimeDownlink,inEclipse,1,-,21,Spacecraft Status,3,8,0,In Eclipse,-
116,realtimeDownlink,ICRRxOn,1,-,1,Command Receivers,4,2,0,ICR Receiver On,ICR RSSI Valid
117,realtimeDownlink,ICRCarrierValid,1,-,1,Command Receivers,4,10,0,ICR Carrier Valid,ICR Receiving Carrier
118,realtimeDownlink,LIHUResets,8,-,1,Legacy IHU,2,5,0,LIHU Reset Cnt,LIHU Rest Count
119,realtimeDownlink,RTIHU1Resets,8,-,1,RT-IHU,11,6,0,Proc1 Reset Cnt,Processor 1 reset count
120,realtimeDownlink,RTIHU2Resets,8,-,1,RT-IHU,11,7,0,Proc2 Reset Cnt,Processor 2 reset count
121,realtimeDownlink,com2Spare1Bit,1,-,0,NONE,0,0,0,com2 Spare Bit,Spare
122,realtimeDownlink,com2Spare3Bit,1,-,0,NONE,0,0,0,com2 Spare Bit,Spare
123,realtimeDownlink,com2Spare2Bit,1,-,0,NONE,0,0,0,com2 Spare Bit,Spare
124,realtimeDownlink,dctPowerNormal2,1,-,status_hi_low,DCT2,13,6,0,Pwr Setting (Health),DCT2 transmit power in health/science mode (1=high)
125,realtimeDownlink,dctPowerSafe2,1,-,status_hi_low,DCT2,13,5,0,Pwr Setting (Safe),DCT2 transmit power in safe mode (1=high)
126,realtimeDownlink,dctPowerNormal1,1,-,status_hi_low,DCT1,12,6,0,Pwr Setting (Health),DCT1 transmit power in health/science mode (1=high)
127,realtimeDownlink,dctPowerSafe1,1,-,status_hi_low,DCT1,12,5,0,Pwr Setting (Safe),DCT1 transmit power in safe mode (1=high)
128,realtimeDownlink,rfPowerCap,1,-,44,Legacy Radio,1,11,0,Transponder Power Cap,Transponder RF power capped (1=capped - low power)
129,realtimeDownlink,vucDisabled,1,-,21,Spacecraft Status,3,9,0,VUC Disabled,VUC Disabled
130,realtimeDownlink,com2Spare4Bit,1,-,0,NONE,0,0,0,com2 Spare Bit,Spare
131,realtimeDownlink,CIUResetCnt3,6,-,1,CIU,8,7,0,RF Matrix Reset Cnt,RF Matrix Power Cycle Cnt
132,realtimeDownlink,dct1CurrentOp,8,-,dct_current_op,DCT1,12,9,0,Current Op,What this DCT is doing right now
133,realtimeDownlink,dct2CurrentOp,8,-,dct_current_op,DCT2,13,9,0,Current Op,What this DCT is doing right now
134,realtimeDownlink,com2Spare3,8,-,0,NONE,0,0,0,com2 Spare Byte 3,Spare
135,realtimeDownlink,Pad5,32,-,0,NONE,0,0,0,Pad,Pad
